team,player1,player2,p1_pos,p2_pos,co_games,joi90,jdi90,offensive,defensive
Switzerland,Breel-Donald Embolo,Remo Freuler,Center Forward,Right Defensive Midfield,4,0.056981,-2.777938,2.0764,3.9988
Switzerland,Remo Freuler,Silvan Widmer,Right Defensive Midfield,Right Back,3,0.296742,-2.81139,10.0,3.8947
Switzerland,Fabian Lukas Schär,Silvan Widmer,Substitute,Right Back,3,0.094752,-2.535224,3.4528,4.7538
Switzerland,Djibril Sow,Fabian Lukas Schär,Center Attacking Midfield,Substitute,4,0.039866,-2.654284,1.4527,4.3834
Switzerland,Djibril Sow,Xherdan Shaqiri,Center Attacking Midfield,Right Wing,4,0.151588,-2.616943,5.5239,4.4996
Switzerland,Manuel Obafemi Akanji,Xherdan Shaqiri,Right Center Back,Right Wing,4,0.292047,-2.965376,10.0,3.4157
Switzerland,Fabian Lukas Schär,Gregor Kobel,Substitute,Substitute,4,0.013563,-2.485583,0.4942,4.9082
Switzerland,Djibril Sow,Ruben Vargas,Center Attacking Midfield,Left Wing,4,0.340155,-2.624825,10.0,4.4751
Switzerland,Ricardo Iván Rodríguez Araya,Ruben Vargas,Left Back,Left Wing,4,0.442567,-2.719749,10.0,4.1798
Switzerland,Gregor Kobel,Manuel Obafemi Akanji,Substitute,Right Center Back,4,0.07675,-2.866764,2.7968,3.7225
Switzerland,Manuel Obafemi Akanji,Ricardo Iván Rodríguez Araya,Right Center Back,Left Back,4,0.137857,-3.130389,5.0235,2.9024
Switzerland,Granit Xhaka,Manuel Obafemi Akanji,Left Defensive Midfield,Right Center Back,4,0.491842,-3.207113,10.0,2.6637
Switzerland,Gregor Kobel,Remo Freuler,Substitute,Right Defensive Midfield,4,-0.00475,-2.716096,0.0,4.1912
Switzerland,Silvan Widmer,Xherdan Shaqiri,Right Back,Right Wing,3,0.336434,-2.482423,10.0,4.9181
Switzerland,Fabian Lukas Schär,Xherdan Shaqiri,Substitute,Right Wing,4,0.05635,-2.584195,2.0534,4.6015
Switzerland,Fabian Lukas Schär,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,0.197076,-2.749208,7.1815,4.0882
Switzerland,Fabian Lukas Schär,Manuel Obafemi Akanji,Substitute,Right Center Back,4,0.16479,-3.002717,6.005,3.2995
Switzerland,Breel-Donald Embolo,Silvan Widmer,Center Forward,Right Back,3,0.145215,-2.433397,5.2917,5.0706
Switzerland,Breel-Donald Embolo,Granit Xhaka,Center Forward,Left Defensive Midfield,4,0.533042,-2.751821,10.0,4.08
Switzerland,Granit Xhaka,Ricardo Iván Rodríguez Araya,Left Defensive Midfield,Left Back,4,0.494491,-2.953605,10.0,3.4523
Switzerland,Granit Xhaka,Ruben Vargas,Left Defensive Midfield,Left Wing,4,0.276857,-2.796473,10.0,3.9411
Switzerland,Granit Xhaka,Gregor Kobel,Left Defensive Midfield,Substitute,4,0.005078,-2.689979,0.185,4.2724
Switzerland,Djibril Sow,Manuel Obafemi Akanji,Center Attacking Midfield,Right Center Back,4,0.295675,-3.035465,10.0,3.1977
Switzerland,Djibril Sow,Silvan Widmer,Center Attacking Midfield,Right Back,3,0.249623,-2.573521,9.0963,4.6347
Switzerland,Granit Xhaka,Remo Freuler,Left Defensive Midfield,Right Defensive Midfield,4,0.199368,-3.056445,7.265,3.1324
Switzerland,Manuel Obafemi Akanji,Silvan Widmer,Right Center Back,Right Back,3,0.493147,-2.959653,10.0,3.4335
Switzerland,Fabian Lukas Schär,Remo Freuler,Substitute,Right Defensive Midfield,4,0.259995,-2.852049,9.4743,3.7682
Switzerland,Breel-Donald Embolo,Fabian Lukas Schär,Center Forward,Substitute,4,0.195073,-2.547425,7.1085,4.7159
Switzerland,Breel-Donald Embolo,Ruben Vargas,Center Forward,Left Wing,4,0.192541,-2.517966,7.0162,4.8075
Switzerland,Gregor Kobel,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,0.0105,-2.613255,0.3826,4.5111
Switzerland,Manuel Obafemi Akanji,Ruben Vargas,Right Center Back,Left Wing,4,0.189913,-2.973258,6.9205,3.3912
Switzerland,Djibril Sow,Ricardo Iván Rodríguez Araya,Center Attacking Midfield,Left Back,4,0.06742,-2.781956,2.4568,3.9863
Switzerland,Djibril Sow,Granit Xhaka,Center Attacking Midfield,Left Defensive Midfield,4,0.174309,-2.85868,6.3518,3.7476
Switzerland,Breel-Donald Embolo,Djibril Sow,Center Forward,Center Attacking Midfield,4,0.075459,-2.580173,2.7497,4.614
Switzerland,Remo Freuler,Xherdan Shaqiri,Right Defensive Midfield,Right Wing,4,0.228524,-2.814708,8.3275,3.8844
Switzerland,Remo Freuler,Ricardo Iván Rodríguez Araya,Right Defensive Midfield,Left Back,4,0.069196,-2.979721,2.5215,3.3711
Switzerland,Fabian Lukas Schär,Granit Xhaka,Substitute,Left Defensive Midfield,4,0.169083,-2.825932,6.1614,3.8495
Switzerland,Ricardo Iván Rodríguez Araya,Silvan Widmer,Left Back,Right Back,3,0.006331,-2.663668,0.2307,4.3543
Switzerland,Djibril Sow,Gregor Kobel,Center Attacking Midfield,Substitute,4,0.0005,-2.518331,0.0182,4.8064
Switzerland,Granit Xhaka,Silvan Widmer,Left Defensive Midfield,Right Back,3,0.31559,-2.752644,10.0,4.0775
Switzerland,Granit Xhaka,Xherdan Shaqiri,Left Defensive Midfield,Right Wing,4,0.168251,-2.788591,6.1311,3.9656
Switzerland,Breel-Donald Embolo,Ricardo Iván Rodríguez Araya,Center Forward,Left Back,4,0.069415,-2.675097,2.5295,4.3187
Switzerland,Breel-Donald Embolo,Xherdan Shaqiri,Center Forward,Right Wing,4,0.112173,-2.510084,4.0876,4.832
Switzerland,Ruben Vargas,Xherdan Shaqiri,Left Wing,Right Wing,4,0.073271,-2.554736,2.67,4.6931
Switzerland,Manuel Obafemi Akanji,Remo Freuler,Right Center Back,Right Defensive Midfield,4,0.28383,-3.23323,10.0,2.5825
Switzerland,Ricardo Iván Rodríguez Araya,Xherdan Shaqiri,Left Back,Right Wing,4,0.05158,-2.711867,1.8796,4.2043
Switzerland,Djibril Sow,Remo Freuler,Center Attacking Midfield,Right Defensive Midfield,4,0.106157,-2.884797,3.8684,3.6664
Switzerland,Breel-Donald Embolo,Edimilson Fernandes,Center Forward,Substitute,4,0.058788,-2.5617,2.1422,4.6715
Switzerland,Edimilson Fernandes,Remo Freuler,Substitute,Right Defensive Midfield,4,0.043023,-2.866324,1.5678,3.7238
Switzerland,Denis Lemi Zakaria Lako Lado,Ruben Vargas,Substitute,Left Wing,4,0.024408,-2.49736,0.8894,4.8716
Switzerland,Edimilson Fernandes,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,0.026685,-2.763483,0.9724,4.0437
Switzerland,Breel-Donald Embolo,Denis Lemi Zakaria Lako Lado,Center Forward,Substitute,4,0.02301,-2.452708,0.8385,5.0105
Switzerland,Denis Lemi Zakaria Lako Lado,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,0.019586,-2.654491,0.7137,4.3828
Switzerland,Edimilson Fernandes,Silvan Widmer,Substitute,Right Back,3,0.087695,-2.623458,3.1956,4.4793
Switzerland,Denis Lemi Zakaria Lako Lado,Silvan Widmer,Substitute,Right Back,3,0.008032,-2.377751,0.2927,5.2437
Switzerland,Denis Lemi Zakaria Lako Lado,Manuel Obafemi Akanji,Substitute,Right Center Back,4,0.037178,-2.908,1.3548,3.5942
Switzerland,Remo Freuler,Ruben Vargas,Right Defensive Midfield,Left Wing,4,0.214402,-2.822589,7.8129,3.8599
Switzerland,Denis Lemi Zakaria Lako Lado,Granit Xhaka,Substitute,Left Defensive Midfield,4,0.06382,-2.731216,2.3256,4.1441
Switzerland,Christian Fassnacht,Remo Freuler,Substitute,Right Defensive Midfield,4,0.020274,-2.669942,0.7388,4.3347
Switzerland,Christian Fassnacht,Ricardo Iván Rodríguez Araya,Substitute,Left Back,4,0.029003,-2.567101,1.0569,4.6547
Switzerland,Edimilson Fernandes,Granit Xhaka,Substitute,Left Defensive Midfield,4,0.128268,-2.840207,4.6741,3.8051
Switzerland,Denis Lemi Zakaria Lako Lado,Edimilson Fernandes,Substitute,Substitute,4,0.043201,-2.541094,1.5742,4.7356
Switzerland,Christian Fassnacht,Granit Xhaka,Substitute,Left Defensive Midfield,4,0.031339,-2.643825,1.142,4.416
Switzerland,Christian Fassnacht,Edimilson Fernandes,Substitute,Substitute,4,0.009105,-2.453704,0.3318,5.0074
Switzerland,Christian Fassnacht,Fabian Lukas Schär,Substitute,Substitute,4,0.006558,-2.439429,0.239,5.0518
Switzerland,Breel-Donald Embolo,Gregor Kobel,Center Forward,Substitute,4,0.00475,-2.411472,0.1731,5.1388
Switzerland,Gregor Kobel,Ruben Vargas,Substitute,Left Wing,4,0.0095,-2.456123,0.3462,4.9999
Switzerland,Gregor Kobel,Silvan Widmer,Substitute,Right Back,3,0.025333,-2.437286,0.9232,5.0585
Switzerland,Granit Xhaka,Noah Okafor,Left Defensive Midfield,Right Wing,3,0.217747,-2.870189,7.9348,3.7118
Switzerland,Noah Okafor,Ricardo Iván Rodríguez Araya,Right Wing,Left Back,3,0.030747,-2.736977,1.1204,4.1262
